patient,cna,PHLDA3,cat
TCGA-4C-A93U,1,6.799165205224973,Gain
TCGA-BJ-A0YZ,0,6.260654887530147,Diploid
TCGA-BJ-A0Z0,0,4.632916396909623,Diploid
TCGA-BJ-A0Z2,0,4.72844637633033,Diploid
TCGA-BJ-A0Z3,0,5.598531878114118,Diploid
TCGA-BJ-A0Z5,0,5.612349213923227,Diploid
TCGA-BJ-A0Z9,0,6.079039424013831,Diploid
TCGA-BJ-A0ZA,0,5.343020204395362,Diploid
TCGA-BJ-A0ZB,0,5.776115711439765,Diploid
TCGA-BJ-A0ZC,0,4.473843033024921,Diploid
TCGA-BJ-A0ZE,0,5.516758023359301,Diploid
TCGA-BJ-A0ZG,0,5.45570044065436,Diploid
TCGA-BJ-A0ZH,0,6.176251452776679,Diploid
TCGA-BJ-A0ZJ,0,5.79081757405963,Diploid
TCGA-BJ-A18Y,0,4.901416801144828,Diploid
TCGA-BJ-A18Z,0,5.874992705021079,Diploid
TCGA-BJ-A190,0,4.723403472102613,Diploid
TCGA-BJ-A191,0,5.989788630805097,Diploid
TCGA-BJ-A192,0,6.485048892393548,Diploid
TCGA-BJ-A28R,0,5.831192062027714,Diploid
TCGA-BJ-A28S,0,4.522547250717867,Diploid
TCGA-BJ-A28T,0,3.6102556959272336,Diploid
TCGA-BJ-A28V,0,4.609744658817829,Diploid
TCGA-BJ-A28W,0,3.768595868222791,Diploid
TCGA-BJ-A28X,0,5.432890609835391,Diploid
TCGA-BJ-A28Z,0,5.508982565180954,Diploid
TCGA-BJ-A290,1,5.111412750025286,Gain
TCGA-BJ-A291,0,5.318665751829718,Diploid
TCGA-BJ-A2N7,0,4.607822014996338,Diploid
TCGA-BJ-A2N8,0,5.732542350293583,Diploid
TCGA-BJ-A2N9,0,3.631398308472754,Diploid
TCGA-BJ-A2NA,0,6.485114935853968,Diploid
TCGA-BJ-A2P4,0,6.255974266848968,Diploid
TCGA-BJ-A3EZ,0,5.928723907940874,Diploid
TCGA-BJ-A3F0,0,5.915807356652161,Diploid
TCGA-BJ-A3PR,0,5.692797144453615,Diploid
TCGA-BJ-A3PT,0,6.13450236100995,Diploid
TCGA-BJ-A3PU,0,6.886213125541444,Diploid
TCGA-BJ-A45C,0,5.558566944697144,Diploid
TCGA-BJ-A45D,0,7.008190211376675,Diploid
TCGA-BJ-A45E,0,4.267010505855364,Diploid
TCGA-BJ-A45F,0,4.882104677733441,Diploid
TCGA-BJ-A45G,0,5.617369961355976,Diploid
TCGA-BJ-A45H,0,5.370867516209387,Diploid
TCGA-BJ-A45I,0,6.298527505074198,Diploid
TCGA-BJ-A45J,0,5.671669641779762,Diploid
TCGA-BJ-A45K,0,5.050968206155638,Diploid
TCGA-BJ-A4O8,0,6.080968987538877,Diploid
TCGA-BJ-A4O9,0,5.066422706604923,Diploid
TCGA-CE-A13K,0,6.09240078426058,Diploid
TCGA-CE-A27D,0,5.944411205242016,Diploid
TCGA-CE-A3MD,0,6.035951306955429,Diploid
TCGA-CE-A3ME,0,5.87134680440913,Diploid
TCGA-CE-A481,0,5.637031400748341,Diploid
TCGA-CE-A482,0,5.87204952135207,Diploid
TCGA-CE-A483,0,5.155834496438663,Diploid
TCGA-CE-A484,0,5.641422792038518,Diploid
TCGA-CE-A485,0,5.537096704762535,Diploid
TCGA-DE-A0XZ,0,5.47106031401038,Diploid
TCGA-DE-A0Y2,0,5.368052233768944,Diploid
TCGA-DE-A0Y3,0,5.74882219408363,Diploid
TCGA-DE-A2OL,0,4.994684025679625,Diploid
TCGA-DE-A3KN,0,5.703996497420389,Diploid
TCGA-DE-A4M8,0,4.909270556500211,Diploid
TCGA-DE-A4M9,0,5.240733671615521,Diploid
TCGA-DE-A4MA,0,7.048697091135784,Diploid
TCGA-DE-A4MB,1,6.530659610612687,Gain
TCGA-DE-A4MC,1,6.067725186866966,Gain
TCGA-DE-A4MD,1,6.66489180988405,Gain
TCGA-DE-A69J,0,5.729160962774862,Diploid
TCGA-DE-A69K,0,5.608547418183275,Diploid
TCGA-DE-A7U5,0,6.178069839495398,Diploid
TCGA-DJ-A13L,0,5.949847393231654,Diploid
TCGA-DJ-A13M,0,6.221155468658808,Diploid
TCGA-DJ-A13O,0,6.225467644554632,Diploid
TCGA-DJ-A13P,0,5.106863202213938,Diploid
TCGA-DJ-A13R,0,4.435167933835633,Diploid
TCGA-DJ-A13S,0,5.155126029646614,Diploid
TCGA-DJ-A13T,0,5.3797464810912805,Diploid
TCGA-DJ-A13U,1,5.8904670874775364,Gain
TCGA-DJ-A13V,0,4.889003403918544,Diploid
TCGA-DJ-A13W,0,4.10472516765293,Diploid
TCGA-DJ-A13X,0,4.967007636345405,Diploid
TCGA-DJ-A1QD,0,5.17194152350812,Diploid
TCGA-DJ-A1QE,1,6.338551695226514,Gain
TCGA-DJ-A1QF,0,5.156794483888918,Diploid
TCGA-DJ-A1QG,0,5.211952215826496,Diploid
TCGA-DJ-A1QH,0,5.780380391733196,Diploid
TCGA-DJ-A1QI,0,5.496835627374748,Diploid
TCGA-DJ-A1QL,0,5.305805039852283,Diploid
TCGA-DJ-A1QM,0,4.974274485288083,Diploid
TCGA-DJ-A1QN,0,5.873379312614894,Diploid
TCGA-DJ-A1QO,0,6.071289026118277,Diploid
TCGA-DJ-A1QQ,0,5.429256783152366,Diploid
TCGA-DJ-A2PN,0,5.722475475356487,Diploid
TCGA-DJ-A2PO,0,5.52228491396639,Diploid
TCGA-DJ-A2PP,0,4.85071922185666,Diploid
TCGA-DJ-A2PQ,0,5.018637807539289,Diploid
TCGA-DJ-A2PR,0,4.9009869338919065,Diploid
TCGA-DJ-A2PS,0,5.461370198956956,Diploid
TCGA-DJ-A2PT,0,6.918291311621574,Diploid
TCGA-DJ-A2PU,0,5.553323054182555,Diploid
TCGA-DJ-A2PV,0,5.110422290563421,Diploid
TCGA-DJ-A2PW,0,6.663525850478288,Diploid
TCGA-DJ-A2PX,0,5.394631077421935,Diploid
TCGA-DJ-A2PY,0,5.631602100134155,Diploid
TCGA-DJ-A2PZ,0,6.394408489435793,Diploid
TCGA-DJ-A2Q0,0,4.478343041643841,Diploid
TCGA-DJ-A2Q1,0,6.654735518872149,Diploid
TCGA-DJ-A2Q2,0,4.539411366140771,Diploid
TCGA-DJ-A2Q3,0,5.656032111733918,Diploid
TCGA-DJ-A2Q4,0,5.951543120232154,Diploid
TCGA-DJ-A2Q5,0,5.42648061706418,Diploid
TCGA-DJ-A2Q6,0,4.885336561185896,Diploid
TCGA-DJ-A2Q7,0,5.956243198459992,Diploid
TCGA-DJ-A2Q9,0,6.434190964709728,Diploid
TCGA-DJ-A2QA,0,6.122979384276791,Diploid
TCGA-DJ-A2QB,0,4.8140254884929226,Diploid
TCGA-DJ-A2QC,0,6.164763168078775,Diploid
TCGA-DJ-A3UK,0,4.968342649742272,Diploid
TCGA-DJ-A3UM,0,5.833307703309733,Diploid
TCGA-DJ-A3UN,0,5.259968255423997,Diploid
TCGA-DJ-A3UO,0,5.801955072611964,Diploid
TCGA-DJ-A3UP,0,5.3017962962334,Diploid
