Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,nlogq
GO_Biological_Process_2021,cellular protein metabolic process,25/417,4.743698101489884e-09,8.94661461940992e-06,0,0,4.477736549165121,85.82230837771093,SERPINA1;RPLP1;RPL8;CST3;LGALS1;RPS19;EVA1A;RPL36;RPLP2;RPL13;QSOX1;TIMP1;RPS2;IGFBP6;LCMT1;RPS9;RPS8;SHISA5;RABGGTA;CDC34;MXRA8;FAM20C;RPS20;MFGE8;RPL28,5.048341269739342
GO_Biological_Process_2021,SRP-dependent cotranslational protein targeting to membrane,11/90,1.0469390662279925e-07,9.872635394529968e-05,0,0,9.453418597520914,151.93746995478568,RPS9;RPS19;RPS8;RPLP1;RPL36;RPLP2;RPL13;RPS20;RPS2;RPL8;RPL28,4.005566901582905
GO_Biological_Process_2021,cotranslational protein targeting to membrane,11/94,1.647497832325391e-07,0.00010357269705885624,0,0,8.995997832159086,140.50703260263026,RPS9;RPS19;RPS8;RPLP1;RPL36;RPLP2;RPL13;RPS20;RPS2;RPL8;RPL28,3.984754714469447
GO_Biological_Process_2021,neutrophil degranulation,24/481,3.043353992391424e-07,0.00011379140425260408,0,0,3.6614974788317,54.94126564439305,CSTB;CD63;SERPINA1;GSN;ANXA2;MVP;STXBP2;RHOG;PLAUR;TMC6;TCIRG1;VAMP8;CST3;PYCARD;LGALS3;SLPI;STING1;PLAU;IMPDH1;ALOX5;ALDH3B1;QSOX1;CTSD;S100A11,3.9438905430960975
GO_Biological_Process_2021,neutrophil activation involved in immune response,24/485,3.5349997432039434e-07,0.00011379140425260408,0,0,3.628972932189003,53.909780714932744,CSTB;CD63;SERPINA1;GSN;ANXA2;MVP;STXBP2;RHOG;PLAUR;TMC6;TCIRG1;VAMP8;CST3;PYCARD;LGALS3;SLPI;STING1;PLAU;IMPDH1;ALOX5;ALDH3B1;QSOX1;CTSD;S100A11,3.9438905430960975
GO_Biological_Process_2021,neutrophil mediated immunity,24/488,3.950728978566624e-07,0.00011379140425260408,0,0,3.6049475262368817,53.15205122939679,CSTB;CD63;SERPINA1;GSN;ANXA2;MVP;STXBP2;RHOG;PLAUR;TMC6;TCIRG1;VAMP8;CST3;PYCARD;LGALS3;SLPI;STING1;PLAU;IMPDH1;ALOX5;ALDH3B1;QSOX1;CTSD;S100A11,3.9438905430960975
GO_Biological_Process_2021,protein targeting to ER,11/103,4.223434940446599e-07,0.00011379140425260408,0,0,8.112231081690988,119.06684083716888,RPS9;RPS19;RPS8;RPLP1;RPL36;RPLP2;RPL13;RPS20;RPS2;RPL8;RPL28,3.9438905430960975
GO_Biological_Process_2021,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",11/113,1.07811659515842e-06,0.0002541659873085975,0,0,7.313182712531379,100.48528736582298,RPS9;RPS19;RPS8;RPLP1;RPL36;RPLP2;RPL13;RPS20;RPS2;RPL8;RPL28,3.594882567521252
GO_Biological_Process_2021,cytoplasmic translation,10/93,1.3373747289766014e-06,0.00028025430431665224,0,0,8.149979227253842,110.22685554131922,RPS9;RPS19;RPS8;RPLP1;RPL36;RPL13;RPS20;RPS2;RPL8;RPL28,3.552447708522052
GO_Biological_Process_2021,regulation of release of cytochrome c from mitochondria,7/41,2.3132714078262104e-06,0.0004362829875160233,0,0,13.818711102188317,179.32331133768284,PYCARD;GPX1;PLAUR;BAX;BID;BBC3;BCL2L1,3.3602317216268984
GO_Biological_Process_2021,release of cytochrome c from mitochondria,5/18,5.361192160390233e-06,0.00091920076495418,0,0,25.66753585397653,311.50953627279847,BAX;SFN;BID;BBC3;BCL2L1,3.036589622901972
GO_Biological_Process_2021,sequestering of actin monomers,4/10,9.704204314934024e-06,0.0015251774448304,0,0,44.35585585585586,511.9974854258671,GSN;TMSB4X;TWF2;TMSB10,2.816679625938445
GO_Biological_Process_2021,Rho protein signal transduction,7/56,1.9690571979936725e-05,0.0028566475964738,0,0,9.581179912237932,103.8156352922214,RTKN;CDC42EP5;CFL1;RHOG;CDC42EP1;TAX1BP3;RHOV,2.544143332017179
GO_Biological_Process_2021,skin development,8/80,2.654010159080071e-05,0.0035753308285892,0,0,7.468797564687976,78.69762726322224,RYR1;ST14;ITGB4;ITGA3;TMEM79;LSR;SFN;CLDN1,2.4466837663431082
GO_Biological_Process_2021,negative regulation of actin filament polymerization,5/25,3.0501075580583186e-05,0.0035953142840612,0,0,16.677966101694917,173.4132988521183,GSN;TMSB4X;TWF2;PFN1;TMSB10,2.4442631398102654
GO_Biological_Process_2021,positive regulation of release of cytochrome c from mitochondria,5/25,3.0501075580583186e-05,0.0035953142840612,0,0,16.677966101694917,173.4132988521183,PYCARD;PLAUR;BAX;BID;BBC3,2.4442631398102654
