gene,r,p,sig
CD27,-0.08736864402725199,0.050419454120710264,
IDO1,-0.03485959649351003,0.43578445618112094,
PDCD1,0.03775097268800896,0.39866027856598324,
LAG3,0.0822646689289829,0.06551948245250924,
TIGIT,0.1469490115797951,0.0009593625105190704,***
TNFRSF9,0.16969753775377455,0.00013323594786639846,***
PDCD1LG2,0.18176485390776423,4.193938868582777e-05,***
CTLA4,0.2012961753271575,5.481038872088491e-06,***
CD274,0.20752385835327458,2.7427641427044497e-06,***
HAVCR2,0.2697304993995916,8.12050922317785e-10,***
LGALS9,0.4145047553417173,2.901212204582153e-22,***
CD276,0.5301241968486374,1.0071992882415633e-37,***
