outcome,model,var,n,OR,lo,hi,p,sig
N1,Univariate,PHLDA3_z,452,1.4560660548576574,1.193198244916612,1.7768450172811892,0.0002166266105590545,***
N1,Multivariable,PHLDA3_z,450,1.4190143911983892,1.1516543631199354,1.748442854827647,0.001017618100118269,**
N1,Multivariable,age_c,450,0.97592139917156,0.9630149554369971,0.9890008166371465,0.0003329152770244877,***
N1,Multivariable,male,450,1.4775809186766995,0.9420980704752749,2.3174289807600004,0.0890918422305789,ns
N1,Multivariable,T34,450,2.8667592173988283,1.8887404538173762,4.35121109093149,7.54081873369441e-07,***
late,Univariate,PHLDA3_z,499,1.562585181967719,1.2670791639663666,1.927008603994297,3.0036924220811094e-05,***
late,Multivariable,PHLDA3_z,496,1.6273451630119717,1.212610658481472,2.1839262759695797,0.001177192499501851,**
late,Multivariable,age_c,496,1.1161954599200434,1.091283180577436,1.1416764474339944,1.359010473339679e-21,***
late,Multivariable,male,496,0.8373038078256813,0.45981116893009205,1.524707780001696,0.5614733718859757,ns
late,Multivariable,T34,496,17.145778619294127,9.404902876471882,31.257922418027697,1.778951277990281e-20,***
