miRNA,clip,rho,p,n,sig
hsa-miR-7-5p,3,-0.3879091538039459,1.9445589937112422e-19,501,True
hsa-miR-874-3p,2,-0.3358194527280101,1.1335911200208204e-14,501,True
hsa-miR-103a-3p,14,-0.238506954219052,6.540961669466792e-08,501,True
hsa-miR-107,14,-0.22391058520409382,4.111718726401416e-07,501,True
hsa-miR-195-5p,14,-0.22321645155903336,4.473832069475648e-07,501,True
hsa-miR-186-5p,3,-0.2001569768828876,6.340820344852982e-06,501,True
hsa-miR-338-3p,4,-0.18549762626142138,2.941596087907891e-05,501,True
hsa-miR-497-5p,14,-0.14358498938378225,0.0012705387332212663,501,True
hsa-miR-424-5p,14,-0.1373277667772026,0.0020648587974260095,501,True
hsa-miR-491-5p,4,-0.13723024071379156,0.002080227434905458,501,True
hsa-miR-6838-5p,13,-0.12999716576554765,0.0035587071269879865,501,True
hsa-miR-423-3p,2,-0.12569191497483123,0.004839609046212482,501,True
hsa-miR-324-3p,2,-0.11965112007061576,0.007337998413034747,501,True
hsa-miR-503-5p,13,-0.11517675406159794,0.009875546871167337,501,True
hsa-miR-769-5p,7,-0.10574831214065893,0.017899172923670242,501,True
hsa-miR-4525,3,-0.09869104979384308,0.027182872045244416,501,True
hsa-miR-18b-5p,1,-0.08960110568958071,0.04500924531909933,501,True
hsa-miR-15b-5p,14,-0.0873575876136174,0.05067987642155124,501,False
hsa-miR-4458,3,-0.05422861620387448,0.22564237043163893,501,False
hsa-miR-877-5p,2,-0.04813106968845744,0.282262194727353,501,False
hsa-miR-1286,14,-0.04217496894162203,0.3461594828115088,501,False
hsa-miR-361-3p,7,-0.03807352625426439,0.39511356472974934,501,False
hsa-miR-16-5p,14,-0.027063005463177234,0.5456112046753431,501,False
hsa-miR-942-5p,1,-0.013591478722033517,0.7615297382634663,501,False
hsa-miR-1913,2,0.00011267562270657718,0.9979927463227206,501,False
hsa-miR-1307-3p,2,0.02935753990027912,0.5120746950041186,501,False
hsa-miR-627-5p,1,0.03089459211995109,0.4902244052409728,501,False
hsa-miR-3619-5p,14,0.0439814705087219,0.3258757471838381,501,False
hsa-miR-1295a,4,0.04445607652033063,0.3206772343117846,501,False
hsa-miR-525-5p,1,0.05649945618019986,0.20677657978969458,501,False
hsa-miR-520a-5p,1,0.05681370300812861,0.2042585536150972,501,False
hsa-miR-625-5p,3,0.07430140515781188,0.09666661879540325,501,False
hsa-miR-19a-3p,6,0.09610840470453516,0.03149161505424136,501,True
hsa-miR-5010-5p,3,0.10356699667809453,0.020417242289120858,501,True
hsa-miR-15a-5p,14,0.11586039077224039,0.00944327703975103,501,True
hsa-miR-665,8,0.12431079465885167,0.005331070688962863,501,True
hsa-miR-122-5p,6,0.1460639021749709,0.001042542459779327,501,True
hsa-miR-19b-3p,6,0.15121778753250473,0.000684271586676229,501,True
hsa-miR-541-3p,4,0.15245961699209493,0.0006170187308900818,501,True
hsa-miR-18a-5p,1,0.16045709378056638,0.00031103059015568626,501,True
hsa-miR-654-5p,4,0.20707750946346182,2.950973948992492e-06,501,True
hsa-miR-214-3p,14,0.22353164587160343,4.3057550108555305e-07,501,True
hsa-miR-513c-5p,1,0.22839686365776474,2.3673050926707316e-07,501,True
hsa-miR-4756-5p,1,,,501,False
hsa-miR-761,14,,,501,False
