item,r_raw,p_raw,r_partial,p_partial,survives,type
CD27,-0.06732186028329867,0.13198521024491364,-0.19399904329512496,1.2252076604841545e-05,True,checkpoint
IDO1,0.056017213985927225,0.21022724332818665,-0.12930182251728523,0.0037421592382321485,False,checkpoint
PDCD1,0.13345482369755512,0.0027349155007799176,-0.043074992461163045,0.33595561263246626,False,checkpoint
CD274,0.21055085143882987,1.944006070308282e-06,0.10471139960443729,0.019060183870541206,True,checkpoint
LAG3,0.21739207145655778,8.764033745415695e-07,0.02843025606267357,0.5254975113919474,False,checkpoint
PDCD1LG2,0.21879065089862573,7.422913807279758e-07,0.03656538498583574,0.41411541711896804,False,checkpoint
TIGIT,0.2435423956962,3.267239688164242e-08,0.0309078378930273,0.4900383047370461,False,checkpoint
TNFRSF9,0.2617199444267667,2.6264334862257875e-09,0.07335026921324053,0.1010239168461102,False,checkpoint
HAVCR2,0.2743931951863028,4.027332070608513e-10,0.08583778907864974,0.05485088021762334,False,checkpoint
CTLA4,0.2873602012091674,5.336014678640948e-11,0.11650348343422073,0.009052087618092742,True,checkpoint
LGALS9,0.44489135516362427,8.991699728540372e-26,0.4096521362314677,1.0738332655428535e-21,True,checkpoint
CD276,0.48027700865446915,2.4925145810516765e-30,0.41950947898556734,8.940310287524326e-23,True,checkpoint
B cells,-0.07530118096203654,0.09192350287458463,-0.23014466902868266,1.9032653199934022e-07,True,immune_cell
CD8 T cells,0.04340239546569618,0.3318076372111502,-0.11983583265495912,0.007247085035687955,False,immune_cell
Macrophages,0.15274903528704908,0.0005946623978663294,-0.08149546212400757,0.06836528776240214,False,immune_cell
Neutrophils,0.2108820716745205,1.8715716129639126e-06,0.06774922905803483,0.12992810084085882,False,immune_cell
T cells,0.21355470488375422,1.3745843427952654e-06,0.0002946701849915938,0.9947506464480798,False,immune_cell
Mast cells,0.24874504671757133,1.6199924909731502e-08,0.1321295706569217,0.0030458351532564225,True,immune_cell
NK CD56dim,0.2523809795961629,9.828365061003585e-09,0.08055883876529427,0.07161217647571566,False,immune_cell
Exhausted CD8,0.25975392723222657,3.4825969683480888e-09,0.10196482936868932,0.022457905797700576,True,immune_cell
Cytotoxic cells,0.2903580022833156,3.294194212462544e-11,0.14501586856930224,0.001133889710714026,True,immune_cell
DC,0.34940472867639455,7.348150286480044e-16,0.2390103915821416,6.125729525194656e-08,True,immune_cell
Treg,0.3775069955734622,1.893766159964097e-18,0.2736040260132186,4.723732788919268e-10,True,immune_cell
