sample,grp,celltype,PHLDA3,p53
PTC01,PTC,Malignant cell,1.1984825899049958,0.39783433139614555
PTC01,PTC,NK cell,0.0,0.12429561470373579
PTC01,PTC,Malignant cell,0.0,0.3695909418893762
PTC01,PTC,Malignant cell,0.0,0.24291826898960778
PTC01,PTC,T cell,0.0,0.0
PTC01,PTC,T cell,0.0,0.0
PTC01,PTC,Malignant cell,0.9181547773915009,0.4710607059055124
PTC01,PTC,Fibroblast,0.0,0.0
PTC01,PTC,B cell,0.0,0.107811922902917
PTC01,PTC,Myeloid cell,0.0,0.10322528354144474
PTC01,PTC,Malignant cell,0.0,0.3454121453939571
PTC01,PTC,Myeloid cell,0.0,0.2358480255626359
PTC01,PTC,Malignant cell,0.0,0.4109444333591515
PTC01,PTC,Malignant cell,0.7591958270090112,0.43182505190868314
PTC01,PTC,Malignant cell,1.6721102315614322,0.278685038593572
PTC01,PTC,Malignant cell,0.5416286479296548,0.5184412634012534
PTC01,PTC,Malignant cell,1.0763196173518712,0.5215381747200559
PTC01,PTC,Malignant cell,0.0,0.15529825061854205
PTC01,PTC,Malignant cell,0.0,0.41658212373813247
PTC01,PTC,Malignant cell,0.5983242274423526,0.4412039104416998
PTC01,PTC,T cell,0.0,0.12966951383707834
PTC01,PTC,Myeloid cell,0.0,0.22268213785169688
PTC01,PTC,Malignant cell,2.2000740895047484,0.12222633830581936
PTC01,PTC,Malignant cell,1.432651249052619,0.28992225840075875
PTC01,PTC,T cell,0.0,0.0
PTC01,PTC,Malignant cell,0.8745597417314038,0.561686362448444
PTC01,PTC,Malignant cell,1.2261807244233651,0.5410135434923214
PTC01,PTC,Myeloid cell,0.0,0.1715574425212285
PTC01,PTC,Myeloid cell,0.0,0.13684079985893718
PTC01,PTC,Malignant cell,0.0,0.0847774276582222
PTC01,PTC,Malignant cell,0.4804656124111883,0.40353141503551243
PTC01,PTC,Malignant cell,0.0,0.11803099516982095
PTC01,PTC,Endothelial cell,0.0,0.08526591903820263
PTC01,PTC,Malignant cell,0.0,0.16646358847527026
PTC01,PTC,Malignant cell,0.0,0.21250570818977976
PTC01,PTC,Malignant cell,0.0,0.3762217799349245
PTC01,PTC,Malignant cell,0.0,0.3458485851842513
PTC01,PTC,Malignant cell,0.0,0.2534904662859513
PTC01,PTC,Malignant cell,0.6075026086489246,0.2840924823477407
PTC01,PTC,Endothelial cell,0.8610150182178711,0.4361118659242114
PTC01,PTC,Malignant cell,1.201481911089199,0.20024698518153317
PTC01,PTC,T cell,0.0,0.3568472929206592
PTC01,PTC,Malignant cell,0.0,0.3503223857628409
PTC01,PTC,Myeloid cell,0.0,0.5541788060699676
PTC01,PTC,Myeloid cell,0.0,0.1668146889467509
PTC01,PTC,T cell,0.0,0.29234664852924586
PTC01,PTC,Malignant cell,0.694449720697012,0.254033179754663
