cls,norm_cs
VITAMIN_K_ANTAGONIST,-1.5473
KAINATE_RECEPTOR_ANTAGONIST,-1.4418
BACTERIAL_PERMEABILITY_INDUCER,-1.4287999999999998
HSP_INHIBITOR,-1.4251
LIPASE_INHIBITOR,-1.3738
ADENYLYL_CYCLASE_ACTIVATOR,-1.3484500000000001
ATPASE_INHIBITOR,-1.31475
GLUCOCORTICOID_RECEPTOR_AGONIST,-1.3051
UBIQUITIN_SPECIFIC_PROTEASE_INHIBITOR,-1.2547
LACTAMASE_INHIBITOR,-1.2525
SOMATOSTATIN_RECEPTOR_AGONIST,-1.24005
DOT1L_INHIBITOR,-1.2361
FXR_ANTAGONIST,-1.2104
IMMUNOSTIMULANT,-1.2075
ANDROGEN_RECEPTOR_AGONIST,-1.19875
ANTIOXIDANT,-1.19815
ERBB2_INHIBITOR,-1.1686
NON-NUCLEOSIDE_REVERSE_TRANSCRIPTASE_INHIBITOR,-1.16
SIGMA_RECEPTOR_AGONIST,-1.1583
PROGESTOGEN_HORMONE,-1.1577
ANTIPROTOZOAL_AGENT,-1.1425
CELL_CYCLE_INHIBITOR,-1.1156
FXR_AGONIST,-1.1056
ESTROGEN_RECEPTOR_AGONIST,-1.09775
HDAC_INHIBITOR,-1.0814
CATHEPSIN_INHIBITOR,-1.0811000000000002
BETA_AMYLOID_INHIBITOR,-1.0804
NFKB_PATHWAY_INHIBITOR,-1.07935
LIPID_PEROXIDASE_INHIBITOR,-1.0696
PLATELET_ACTIVATING_FACTOR_RECEPTOR_ANTAGONIST,-1.0678
GLYCINE_TRANSPORTER_INHIBITOR,-1.0661
ATP_CHANNEL_BLOCKER,-1.0643
AROMATASE_INHIBITOR,-1.05925
PROTEASOME_INHIBITOR,-1.0574
GLUTAMATE_RECEPTOR_ANTAGONIST,-1.0548
PROGESTERONE_RECEPTOR_ANTAGONIST,-1.05415
PHOSPHOLIPASE_INHIBITOR,-1.0465
BETA-SECRETASE_INHIBITOR,-1.0461
LOCAL_ANESTHETIC,-1.0434
BACTERIAL_DNA_GYRASE_INHIBITOR,-1.04165
ANGIOTENSIN_RECEPTOR_ANTAGONIST,-1.03135
TNF_PRODUCTION_INHIBITOR,-1.028
SERINE/THREONINE_KINASE_INHIBITOR,-1.0205
GROWTH_FACTOR_RECEPTOR_INHIBITOR,-1.00855
NOREPINEPHRINE_TRANSPORTER_INHIBITOR,-1.0078
NAMPT_INHIBITOR,-1.0042
PKA_INHIBITOR,-0.9989000000000001
CYTOCHROME_P450_INHIBITOR,-0.99705
SEROTONIN_REUPTAKE_INHIBITOR,-0.9924999999999999
GLUCOCORTICOID_RECEPTOR_ANTAGONIST,-0.9912
CALCITONIN_ANTAGONIST,-0.9838
IMIDAZOLINE_LIGAND,-0.9784
ACETYLCHOLINE_RECEPTOR_ANTAGONIST,-0.9766
HISTAMINE_RECEPTOR_AGONIST,-0.9683
INTEGRIN_ANTAGONIST,-0.96625
SERINE_PROTEASE_INHIBITOR,-0.9644
GASTRIN_INHIBITOR,-0.963
