,pearson_r
BBC3,0.7729779295218097
TAX1BP3,0.7393109241778468
BAX,0.7338656035716878
S100A6,0.7308755747212607
DDB2,0.7183824028195829
SYTL1,0.7181051085274293
S100A11,0.7176490217089453
FAM89B,0.7070741017272401
BBLN,0.7052759781046515
OCIAD2,0.6800731937767025
GPX1,0.6787819189703302
GIPC1,0.672470161180497
CCM2,0.6703914889132353
C19orf33,0.6603245117748499
MAD1L1,0.651734864910975
S100A16,0.65135653251672
DUSP23,0.6507091289791109
GFUS,0.6485406168587645
TP53I3,0.6448443618738425
CMTM3,0.6425569060440514
TWF2,0.6392924133189747
TRIM47,0.6392779056951844
LGALS1,0.636518243647525
RIN1,0.6358216356848918
PERM1,0.6342214341200297
PUSL1,0.633583137814836
SH3BGRL3,0.6284279502990775
IER5,0.627875930430734
KRT19,0.6275760499893414
CSTB,0.6251160114281695
MVP,0.6210184597872738
RRAS,0.618851169886432
SLC22A31,0.6180637033152876
BCL2L1,0.6177818354262948
FNDC4,0.6166905112974542
TMSB10,0.616151613258441
GALE,0.6160623469759415
SFN,0.6138515212827528
SYNGR2,0.6135972043414398
TRNAU1AP,0.6115886892909792
TSPO,0.611244328923223
CATSPER1,0.6086371388459382
PLP2,0.6069344525442952
CDC42EP5,0.6065686838775822
LCMT1,0.6047693630964251
ZFYVE19,0.6038599177952584
LSR,0.6025276932267613
CD151,0.602321311296405
EPHB3,0.6022886947485826
JPT1,0.6009273752246375
CKLF,0.6002285986004929
LGALS3,0.5980644035308655
CLIC1,0.5978449076694277
HCFC1R1,0.5976717256148295
ALDH3B1,0.5974967189133954
LINC02560,0.5971458188467748
RAB34,0.5971298492026766
SNAPC2,0.5970960231472277
TMC6,0.5966020053200596
P3H3,0.5964883211687858
EHD2,0.5961647821014643
ANXA2,0.5960380460583754
S100A10,0.59518043845944
SMIM29,0.5951200979715509
RPS19,0.5948093208986843
DDA1,0.5944474426824857
PHLDA2,0.5935463847696804
SCN1B,0.5930714481586485
RTL8C,0.5929511251815759
S100A2,0.5913922307970814
CARS2,0.5898046956085418
R3HDM4,0.5892522807552766
BLOC1S4,0.589110654867536
KCNN4,0.5869020956320388
IGFBP6,0.5856339993445144
STXBP2,0.5855285411058898
SAMD1,0.5847149807153025
ACOT7,0.5843986585324731
PAFAH1B3,0.5833654737291069
B3GNT3,0.5826796446876523
DTX2,0.5817298917769691
SLPI,0.581055994913348
PDLIM4,0.5806340123261473
MRPL14,0.5803929939370871
CTXN1,0.5791477662364809
PYCARD,0.5785432613132437
FAM110A,0.5784487500980421
TIMP1,0.5779880546144894
TOP6BL,0.5763302931861456
PLAU,0.5756830756043867
CYP2S1,0.5750911433459154
KRT15,0.5747980544012092
TCIRG1,0.5740568165928233
PFN1,0.573463305630499
SULT2B1,0.5733252052100104
TBCB,0.5723523572536275
LY6E,0.5717420702884415
GPX4,0.5713582162110807
SIRT6,0.5697641658636181
ITGB4,0.5696594129853644
SSBP4,0.5694120801860395
PLCD1,0.5689071473910725
PPP1R14B,0.568131084441008
NXN,0.5678711264947773
SH3GL1,0.5674291708334921
HSD3B7,0.5671144586290151
PLEKHN1,0.5670960945483084
RHOC,0.5670759442867775
LMNA,0.5668286912157383
B3GALT4,0.5659728739805474
PRSS22,0.5653941118545045
FAXC,0.5646590937364542
