cell,r,p,sig
B cells,-0.07970418318896874,0.07439309058192567,
CD8 T cells,-0.021011394942893967,0.6386079053310689,
T cells,0.06547838489473513,0.14292588669450185,
NK CD56dim,0.07652995928111622,0.08672738997521486,
Macrophages,0.10599864505866653,0.017515066831103418,*
Neutrophils,0.13533273154080358,0.0023767265608925095,**
Cytotoxic cells,0.14844874805727473,0.0008491414575293058,***
Exhausted CD8,0.15338900304722183,0.0005635068990070152,***
Mast cells,0.21216885597464435,1.6139422399138574e-06,***
DC,0.3228794449803247,1.2095490943947383e-13,***
Treg,0.33945596236985603,5.279607111814038e-15,***
