cell_type,n,pct,mean
B cell,899,0.0,0.0
dendritic cell,309,0.0,0.0
T cell,2509,0.03985651654045436,0.00039856516540454366
endothelial cell,462,0.21645021645021645,0.0021645021645021645
thyroid follicular cell,7297,0.37001507468822803,0.003974235987392079
plasma cell,433,0.4618937644341801,0.004618937644341801
smooth muscle cell,211,0.47393364928909953,0.004739336492890996
macrophage,170,0.5882352941176471,0.0058823529411764705
fibroblast,187,1.06951871657754,0.0106951871657754
stromal cell,100,2.0,0.05
thymocyte,1591,54.17976115650534,1.1514770584538025
epithelial cell,716,74.58100558659217,2.8268156424581004
basal cell,593,78.92074198988196,3.0252951096121414
