sample,PHLDA3,study,stype,site,disease
GTEX-S4Q7-0003-SM-3NM8M,9.261,GTEX,Cell Line,Blood,Cells - Ebv-Transformed Lymphocytes
TCGA-S9-A7J2-01,10.33,TCGA,Primary Tumor,Brain,Brain Lower Grade Glioma
GTEX-QV31-1626-SM-2S1QC,10.67,GTEX,Normal Tissue,Blood Vessel,Artery - Tibial
TCGA-G3-A3CH-11,8.85,TCGA,Solid Tissue Normal,Liver,Liver Hepatocellular Carcinoma
GTEX-13OVI-1026-SM-5L3EM,10.13,GTEX,Normal Tissue,Uterus,Uterus
GTEX-13OW5-0626-SM-5J2N2,10.76,GTEX,Normal Tissue,Thyroid,Thyroid
GTEX-XUZC-2026-SM-4BRW9,11.66,GTEX,Normal Tissue,Blood Vessel,Artery - Tibial
TCGA-EK-A2RE-01,11.95,TCGA,Primary Tumor,Cervix,Cervical & Endocervical Cancer
TCGA-44-6778-01,9.768,TCGA,Primary Tumor,Lung,Lung Adenocarcinoma
TCGA-F4-6854-01,9.645,TCGA,Primary Tumor,Colon,Colon Adenocarcinoma
TCGA-AB-2863-03,7.297,TCGA,Primary Blood Derived Cancer - Peripheral Blood,White blood cell,Acute Myeloid Leukemia
TCGA-C8-A1HL-01,9.978,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
TCGA-EW-A2FS-01,11.58,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
GTEX-ZAKK-0326-SM-5EGHA,11.26,GTEX,Normal Tissue,Muscle,Muscle - Skeletal
GTEX-1399S-1726-SM-5L3DI,10.34,GTEX,Normal Tissue,Lung,Lung
GTEX-ZF29-0926-SM-4WKFZ,10.57,GTEX,Normal Tissue,Skin,Skin - Not Sun Exposed (Suprapubic)
TCGA-05-4420-01,9.678,TCGA,Primary Tumor,Lung,Lung Adenocarcinoma
GTEX-13W3W-2626-SM-5SIA2,10.94,GTEX,Normal Tissue,Muscle,Muscle - Skeletal
GTEX-WHPG-0226-SM-3NMB9,10.6,GTEX,Normal Tissue,Thyroid,Thyroid
TCGA-2G-AAFZ-01,10.36,TCGA,Primary Tumor,Testis,Testicular Germ Cell Tumor
GTEX-P44H-0526-SM-2XCF1,12.23,GTEX,Normal Tissue,Nerve,Nerve - Tibial
GTEX-ZDYS-0826-SM-4WWCR,11.06,GTEX,Normal Tissue,Esophagus,Esophagus - Mucosa
TCGA-DX-A3U8-01,11.92,TCGA,Primary Tumor,"Soft tissue,Bone",Sarcoma
TCGA-GL-8500-01,9.848,TCGA,Primary Tumor,Kidney,Kidney Papillary Cell Carcinoma
GTEX-13OVJ-0011-R1b-SM-5L3I6,11.11,GTEX,Normal Tissue,Brain,Brain - Hippocampus
TCGA-CC-A3MA-01,8.083,TCGA,Primary Tumor,Liver,Liver Hepatocellular Carcinoma
GTEX-TSE9-0126-SM-3DB83,10.74,GTEX,Normal Tissue,Skin,Skin - Sun Exposed (Lower Leg)
TCGA-BR-A4J6-01,10.67,TCGA,Primary Tumor,Stomach,Stomach Adenocarcinoma
GTEX-RU1J-1926-SM-2TF6S,11.0,GTEX,Normal Tissue,Blood Vessel,Artery - Tibial
TCGA-KK-A6E4-01,10.63,TCGA,Primary Tumor,Prostate,Prostate Adenocarcinoma
TCGA-IN-7808-01,9.559,TCGA,Primary Tumor,Stomach,Stomach Adenocarcinoma
TCGA-L5-A4OH-01,9.1,TCGA,Primary Tumor,Esophagus,Esophageal Carcinoma
TCGA-RP-A695-06,12.68,TCGA,Metastatic,Skin,Skin Cutaneous Melanoma
TCGA-A4-7828-01,11.71,TCGA,Primary Tumor,Kidney,Kidney Papillary Cell Carcinoma
TARGET-20-PARXMP-09,5.413,TARGET,Primary Blood Derived Cancer - Bone Marrow,White blood cell,Acute Myeloid Leukemia
GTEX-POMQ-0006-SM-5SI7D,5.589,GTEX,Normal Tissue,Blood,Whole Blood
TCGA-B9-A8YH-01,9.675,TCGA,Primary Tumor,Kidney,Kidney Papillary Cell Carcinoma
GTEX-11P7K-0326-SM-59871,10.99,GTEX,Normal Tissue,Lung,Lung
TCGA-E1-A7YI-01,9.457,TCGA,Primary Tumor,Brain,Brain Lower Grade Glioma
TCGA-PC-A5DM-01,10.78,TCGA,Primary Tumor,"Soft tissue,Bone",Sarcoma
TCGA-BR-A4QL-01,9.36,TCGA,Primary Tumor,Stomach,Stomach Adenocarcinoma
TCGA-CH-5751-01,8.07,TCGA,Primary Tumor,Prostate,Prostate Adenocarcinoma
TCGA-A2-A3XX-01,11.03,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
GTEX-QXCU-0626-SM-2TC69,10.7,GTEX,Normal Tissue,Lung,Lung
TCGA-DQ-5624-01,12.7,TCGA,Primary Tumor,Head and Neck region,Head & Neck Squamous Cell Carcinoma
TCGA-KK-A7B3-01,10.84,TCGA,Primary Tumor,Prostate,Prostate Adenocarcinoma
GTEX-1269C-2626-SM-5EQ5C,10.05,GTEX,Normal Tissue,Muscle,Muscle - Skeletal
TCGA-DQ-7591-01,11.81,TCGA,Primary Tumor,Head and Neck region,Head & Neck Squamous Cell Carcinoma
TCGA-06-5412-01,10.85,TCGA,Primary Tumor,Brain,Glioblastoma Multiforme
GTEX-P4PQ-0126-SM-2S1NM,11.86,GTEX,Normal Tissue,Skin,Skin - Sun Exposed (Lower Leg)
TCGA-BP-4989-01,10.78,TCGA,Primary Tumor,Kidney,Kidney Clear Cell Carcinoma
TCGA-EJ-8468-01,9.177,TCGA,Primary Tumor,Prostate,Prostate Adenocarcinoma
TCGA-CZ-5459-01,11.34,TCGA,Primary Tumor,Kidney,Kidney Clear Cell Carcinoma
TCGA-D5-5538-01,9.926,TCGA,Primary Tumor,Colon,Colon Adenocarcinoma
TCGA-KP-A3W3-01,10.09,TCGA,Primary Tumor,Endometrium,Uterine Corpus Endometrioid Carcinoma
GTEX-1122O-0426-SM-5H12G,10.4,GTEX,Normal Tissue,Blood Vessel,Artery - Coronary
TCGA-CZ-5468-11,10.51,TCGA,Solid Tissue Normal,Kidney,Kidney Clear Cell Carcinoma
TCGA-BH-A0BQ-11,10.02,TCGA,Solid Tissue Normal,Breast,Breast Invasive Carcinoma
GTEX-1399Q-0005-SM-5NQAG,10.18,GTEX,Normal Tissue,Blood,Whole Blood
TCGA-4X-A9FA-01,12.79,TCGA,Primary Tumor,Thymus,Thymoma
TCGA-DD-AAW0-01,9.459,TCGA,Primary Tumor,Liver,Liver Hepatocellular Carcinoma
GTEX-11EI6-0826-SM-5985V,11.01,GTEX,Normal Tissue,Lung,Lung
GTEX-11EI6-3126-SM-5H111,11.31,GTEX,Normal Tissue,Pituitary,Pituitary
TARGET-50-PAJMSE-01,10.43,TARGET,Primary Solid Tumor,Kidney,Wilms Tumor
GTEX-QV44-1726-SM-4R1KG,9.932,GTEX,Normal Tissue,Testis,Testis
GTEX-111VG-1926-SM-5GIDO,9.483,GTEX,Normal Tissue,Testis,Testis
TCGA-BR-4292-01,8.518,TCGA,Primary Tumor,Stomach,Stomach Adenocarcinoma
TCGA-AA-3511-01,9.837,TCGA,Primary Tumor,Colon,Colon Adenocarcinoma
TCGA-Z7-A8R5-01,11.77,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
TCGA-GV-A3QK-01,12.75,TCGA,Primary Tumor,Bladder,Bladder Urothelial Carcinoma
GTEX-S341-0326-SM-2XCAU,10.31,GTEX,Normal Tissue,Lung,Lung
TCGA-39-5031-01,10.21,TCGA,Primary Tumor,Lung,Lung Squamous Cell Carcinoma
GTEX-N7MS-2625-SM-3LK77,10.55,GTEX,Normal Tissue,Pituitary,Pituitary
TCGA-ZG-A8QW-01,10.78,TCGA,Primary Tumor,Prostate,Prostate Adenocarcinoma
