ensembl,log2FC_tumor_vs_normal,AUC,AUC_disc,pval,mean_logCPM_tumor,FDR
ENSG00000145864,4.588360184842284,0.9773663964830334,0.9773663964830334,1.0159655357555424e-32,5.0724566611632635,8.091149526757139e-29
ENSG00000143196,-4.063414127776528,0.02534688830883363,0.9746531116911663,2.2834274308882453e-32,1.7512562525989157,1.0242278850307212e-28
ENSG00000162981,2.170330102688415,0.9738975133946971,0.9738975133946971,2.859264102467756e-32,4.206499112391458,1.0242278850307212e-28
ENSG00000262772,0.7908223103424439,0.9735025415579063,0.9735025415579063,3.215180452758417e-32,0.889925958644324,1.0242278850307212e-28
ENSG00000147257,-2.72039816004672,0.027544992444017036,0.972455007555983,4.3870298493219846e-32,0.9507277181819822,1.164610190666676e-28
ENSG00000189056,-2.749348078431744,0.029056189036955626,0.9709438109630444,6.860130506685792e-32,0.6728515420860736,1.3658519838811412e-28
ENSG00000162873,3.7292913772946097,0.9702569034207995,0.9702569034207995,8.402325344466202e-32,4.553743738041015,1.4512691823230074e-28
ENSG00000160180,-5.557359465186634,0.030017859596098366,0.9699821404039016,9.111433841806928e-32,3.467475165626208,1.4512691823230074e-28
ENSG00000168528,1.72951023223405,0.9690891605989834,0.9690891605989834,1.1852369740460029e-31,6.687349614238208,1.716223138418612e-28
ENSG00000147883,1.7760567536262797,0.9667193295782388,0.9667193295782388,2.3762112064901755e-31,2.7619218582863416,2.933762609533226e-28
ENSG00000105327,1.6643096945353497,0.966616293446902,0.966616293446902,2.4489771359473766e-31,3.4252618294799624,2.933762609533226e-28
ENSG00000184489,1.7777855546641925,0.9662384942986674,0.9662384942986674,2.735221717794631e-31,5.016956443345905,2.933762609533226e-28
ENSG00000153246,-3.326465913515627,0.03379585107844484,0.9662041489215552,2.762835204859266e-31,3.6855414891164,2.933762609533226e-28
ENSG00000260912,1.2445976709177615,0.965311169116637,0.965311169116637,3.5864712961285447e-31,2.9346443822831523,3.1611222805428444e-28
ENSG00000174307,1.7571334054070422,0.9651394422310757,0.9651394422310757,3.7708013140578886e-31,5.605593353806859,3.1611222805428444e-28
ENSG00000064270,-2.657534647600381,0.0348605577689243,0.9651394422310757,3.7708013140578886e-31,1.6610504191091615,3.1611222805428444e-28
ENSG00000113361,2.399419890719667,0.9639030086550351,0.9639030086550351,5.406511756823514e-31,4.534542045183351,4.033457433071091e-28
ENSG00000074706,-3.736569732291822,0.036165682099189446,0.9638343179008105,5.515674664113327e-31,2.7764259887891116,4.033457433071091e-28
ENSG00000072682,1.7523696204007386,0.9637999725236983,0.9637999725236983,5.571073802584379e-31,5.787441427382589,4.033457433071091e-28
ENSG00000100784,-1.5911243534987185,0.036852589641434265,0.9631474103585658,6.73509696599899e-31,2.12130700037182,4.380368597706542e-28
ENSG00000198626,-3.354564915825218,0.036852589641434265,0.9631474103585658,6.73509696599899e-31,1.7004931256366127,4.380368597706542e-28
ENSG00000006625,1.7672089263657464,0.963044374227229,0.963044374227229,6.939764063001914e-31,5.442928359956248,4.380368597706542e-28
ENSG00000168702,-3.6121534930340724,0.037058661904107705,0.9629413380958922,7.150275209716855e-31,1.284516945067905,4.380368597706542e-28
ENSG00000138722,-3.141848428127041,0.03743646105234236,0.9625635389476577,7.979536343612378e-31,1.7465785067367487,4.70733536596511e-28
ENSG00000271367,-1.0911911261971636,0.037882950954801486,0.9621170490451985,9.0811447396396e-31,0.24051102267956048,5.165874050463556e-28
ENSG00000160181,-1.09217261093613,0.037882950954801486,0.9621170490451985,3.211910746264591e-33,0.1373010387433771,5.115931436650241e-29
ENSG00000136011,-1.4080181320145284,0.03911938453084215,0.9608806154691578,1.298633347790277e-30,0.2964569039602502,6.672461923743075e-28
ENSG00000196666,-1.5846246851092225,0.03925676603929111,0.9607432339607089,1.2121091331582224e-30,0.2951442157066914,6.435491424314721e-28
ENSG00000133800,-2.6956932198369365,0.039531529056189035,0.9604684709438109,1.4636576193481238e-30,1.4679595585901926,7.2061772918035865e-28
ENSG00000119655,2.2762304325262868,0.9603997801895865,0.9603997801895865,1.4929925328322347e-30,10.19001005710587,7.2061772918035865e-28
ENSG00000111262,-1.6572550963958648,0.03970325594175024,0.9602967440582497,3.6451287995602892e-31,0.18257416284116756,3.1611222805428444e-28
ENSG00000072041,-0.8383324156159888,0.04045885423821954,0.9595411457617804,5.643573069108025e-32,0.07237274757731968,1.2841547406393232e-28
ENSG00000141858,1.038464386476246,0.9595068003846682,0.9595068003846682,1.931871038189938e-30,4.86838162122066,8.632512909919233e-28
ENSG00000277363,2.498138754792837,0.959472455007556,0.959472455007556,1.9510953337336288e-30,3.7815176383584546,8.632512909919233e-28
ENSG00000213759,-0.803437547727848,0.041008380272015386,0.9589916197279846,1.8472958388816748e-30,0.1098781070986387,8.632512909919233e-28
ENSG00000153823,-1.9419629162921832,0.041008380272015386,0.9589916197279846,2.2410433210756226e-30,0.9318695181517264,9.647388653538518e-28
ENSG00000109832,-1.6145123387132791,0.041111416403352107,0.9588885835966479,2.30853319668915e-30,0.922499877447147,9.676399146543363e-28
ENSG00000145681,1.2774191624461175,0.9585107844484132,0.9585107844484132,2.5619996354926045e-30,1.379519880888085,1.046346928054518e-27
ENSG00000170439,3.3871022857778983,0.9579956037917297,0.9579956037917297,2.9846559559505314e-30,5.031306467215774,1.1710032206281295e-27
ENSG00000134569,3.7379780386753447,0.9579612584146174,0.9579612584146174,3.0142599225108808e-30,6.658584151453505,1.1710032206281295e-27
ENSG00000107731,1.841542552655203,0.9577208407748317,0.9577208407748317,3.229808609030473e-30,5.133251168351061,1.2248664648723184e-27
ENSG00000050767,-2.7933998132727096,0.04241654073361725,0.9575834592663828,3.359776917256071e-30,4.341903494068565,1.2282920313037485e-27
