"drug","rho","p","n","fdr"
"Camptothecin_1003",0.19160730462767,4.64428045609591e-08,804,8.59408906828964e-08
"Vinblastine_1004",0.309812373895231,5.52251616324884e-18,747,6.83411375202044e-17
"Cisplatin_1005",0.235116354307638,5.22347658272715e-11,765,1.52095347555879e-10
"Cytarabine_1006",0.212075251850953,5.01770998455164e-09,749,1.09176546916618e-08
"Docetaxel_1007",0.223379887094919,4.39845591112769e-10,763,1.10239781063707e-09
"Gefitinib_1010",0.0362348086218345,0.32193060364442,749,0.358102581581995
"Navitoclax_1011",0.257170443181163,1.15305507982185e-12,747,4.47656678048484e-12
"Vorinostat_1012",0.326156723690407,2.15798559316902e-20,755,1.06820286861866e-18
"Nilotinib_1013",0.310291106727376,3.35701582786979e-18,754,4.43126089278812e-17
"Olaparib_1017",0.19919245544131,3.41686161867186e-08,758,6.63273137742184e-08
"Axitinib_1021",0.163367346938775,0.261156062434028,49,0.300633141639172
"AZD7762_1022",0.258174005440489,5.95569259098693e-13,760,2.56353724568568e-12
"SB216763_1025",-0.00514756348661633,0.960922037136677,93,0.975705453092626
"KU-55933_1030",0.155232305688233,0.291108528562223,48,0.32936850660183
"Afatinib_1032",0.0781493363968356,0.0270087777229052,801,0.0336335722587122
"Staurosporine_1034",0.118614577879857,0.000989319021295573,769,0.00139917975868945
"PLX-4720_1036",0.084659776418022,0.0170521715340965,794,0.0217827739596845
"NU7441_1038",0.156221091581869,0.293345736578839,47,0.330013953651194
"Doramapimod_1042",0.111193339500463,0.460677716442873,46,0.501176856349939
"Wee1 Inhibitor_1046",0.324289802853351,5.3742647495167e-20,752,1.80804026426981e-18
"Nutlin-3a (-)_1047",-0.00034277734619087,0.992426666947864,769,0.992426666947864
"Mirin_1048",0.209841997959266,1.23971237592613e-08,726,2.5838215835092e-08
"PD173074_1049",0.30282319238702,2.32198925833501e-17,755,2.41975722710701e-16
"ZM447439_1050",0.165587419056429,0.26507491013136,47,0.303380532982713
"Alisertib_1051",0.261240260302409,1.01168231585344e-12,727,4.00626197077963e-12
"RO-3306_1052",0.081306990881459,0.581668913594299,48,0.619195940277802
"MK-2206_1053",0.21959281418398,8.77030253774386e-10,767,2.09219265358227e-09
"Palbociclib_1054",0.233240068461951,6.3560121964431e-11,766,1.8238991520228e-10
"Dactolisib_1057",0.148266422966808,4.72030925712944e-05,749,7.02722731512502e-05
"Pictilisib_1058",0.0551258365868203,0.128146357846503,763,0.150135969547974
"AZD8055_1059",0.0340634418549133,0.745409567208083,93,0.772728242446076
"PD0325901_1060",-0.0239238514201388,0.498875809709689,801,0.536833751752817
"Obatoclax Mesylate_1068",0.114005777244837,0.00210567001150318,726,0.00291554309285056
"5-Fluorouracil_1073",0.145641988749704,3.53705746663592e-05,802,5.34608685796879e-05
"Dasatinib_1079",-0.0894394704166648,0.0138522564297384,757,0.018044386665054
"Paclitaxel_1080",0.281349057019065,4.5347967080194e-15,754,2.89641854254142e-14
"Crizotinib_1083",0.278362984852042,2.11532379002556e-14,733,1.1319840822299e-13
"Rapamycin_1084",0.148310193604172,5.09659923912279e-05,742,7.53079589064412e-05
"Sorafenib_1085",0.322286730954867,9.45152966241278e-20,754,2.33925359144716e-18
"BI-2536_1086",0.218816067653277,0.158217327404718,43,0.184276651918437
"Irinotecan_1088",0.221901854917915,2.60936828354553e-10,798,6.94010715463934e-10
"Oxaliplatin_1089",0.239351049171272,8.58118615724616e-12,798,2.95783499646554e-11
"BMS-536924_1091",0.0932732556064057,0.0106716571091004,749,0.0140865873840126
"GSK1904529A_1093",0.279199281174279,1.22280946560263e-15,798,8.34883704101109e-15
"Tozasertib_1096",0.23881893182805,0.102102918146989,48,0.121056154449724
"PF-4708671_1129",-0.199413808076422,0.17371845617447,48,0.201147686096755
"PRIMA-1MET_1131",0.232731804207142,2.4816739751511e-10,726,6.73111571342353e-10
"Erlotinib_1168",0.0169009945524514,0.644147581050639,749,0.67841075025546
"Niraparib_1177",0.232411590082958,2.62882846766642e-10,726,6.94010715463934e-10
"MK-1775_1179",0.335758300515205,0,766,0
"Dinaciclib_1180",0.202866882160947,3.84218409278858e-08,725,7.3149274074244e-08
"Gemcitabine_1190",0.176543782542385,1.1343487770943e-06,753,1.85620708979067e-06
"Bortezomib_1191",0.155836415048649,1.78537518925299e-05,753,2.71926374978533e-05
"GSK269962A_1192",-0.0036908380373426,0.980351650412439,48,0.989353597427303
"SB505124_1194",0.0511198945981555,0.73806358444154,45,0.76913994589171
"Tamoxifen_1199",0.253153394661098,2.14188379761077e-12,753,7.85357392457283e-12
"Fulvestrant_1200",0.275075764052904,1.43135555605241e-14,761,8.33554117936402e-14
"EPZ004777_1237",0.295846749692387,1.82701966882147e-17,798,2.00972163570361e-16
"YK-4-279_1239",0.315963673489787,8.94017570310099e-19,749,1.48532425676007e-17
"Daporinad_1248",0.325983377199361,9.53745134338686e-11,380,2.65973995209943e-10
"BMS-345541_1249",0.284485694674688,7.223643252137e-15,726,4.3341859512822e-14
"AZ960_1250",0.202074231571987,4.53744131640681e-08,723,8.47559793064669e-08
"Talazoparib_1259",0.17125011680975,2.67998536176329e-06,745,4.21140556848516e-06
"XAV939_1268",0.110146367583769,0.00297488939665198,726,0.00406226276232477
"Trametinib_1372",-0.19067940221813,1.09241575816507e-07,767,1.94863351456471e-07
"Dabrafenib_1373",0.219088626587392,1.36343471803181e-09,753,3.21381040678926e-09
"Temozolomide_1375",0.277400119610785,1.48521478502094e-14,747,8.4020722124042e-14
"AZD5438_1401",0.199993916213878,5.87379681858013e-08,726,1.07686275007302e-07
"IAP_5620_1428",0.285960071202585,5.89316813211125e-15,723,3.64639778174384e-14
"AZD2014_1441",0.0253825748919168,0.494611630246896,726,0.535153567152379
"AZD1208_1449",0.300070662810232,1.98940903173423e-16,725,1.57561195313351e-15
"AZD1332_1463",0.0669462804037407,0.0714350652019438,726,0.0862447738413712
"Ruxolitinib_1507",0.250540363294543,8.83330210816888e-12,726,2.96439630070752e-11
"Linsitinib_1510",0.257903348286482,1.5675832914594e-13,800,7.2181742257898e-13
"Epirubicin_1511",0.14193321576719,9.86603427465014e-05,749,0.000141556143940632
"Cyclophosphamide_1512",0.268286155911423,1.06449366032199e-13,748,5.07299558453311e-13
"Pevonedistat_1529",0.209841127927287,7.64254181906735e-09,747,1.64480791323406e-08
"Sapitinib_1549",-0.0844694679210436,0.0168849152416319,800,0.021709176739241
"Uprosertib_1553",0.0730069199814974,0.0483419272695797,732,0.0590845777739308
"LCL161_1557",0.227943646093943,5.98251104453297e-10,725,1.48067148352191e-09
"Lapatinib_1558",0.0797650755209877,0.0285377101118079,754,0.0350960658517886
"Luminespib_1559",0.100617603930249,0.00438067213268309,801,0.00586062893426522
"Alpelisib_1560",0.10342407090887,0.00339877985929654,801,0.00460930419274462
"Taselisib_1561",0.016542632183586,0.640080088269133,801,0.677731858167317
"EPZ5676_1563",0.31594748810963,5.4789098917267e-20,798,1.80804026426981e-18
"SCH772984_1564",-0.111798385622478,0.00154843190208834,800,0.00215908110291191
"IWP-2_1576",0.31145131146586,1.13687672490177e-17,725,1.32412700900324e-16
"Leflunomide_1578",0.303895606620508,7.40915759772896e-17,726,6.11255501812639e-16
"Entinostat_1593",0.273656951128619,6.16724354042008e-14,732,3.13106210513635e-13
"OSI-027_1594",0.0648543025964741,0.295425649328119,262,0.330476150095862
"LGK974_1598",0.306445486633573,9.00196519248528e-19,800,1.48532425676007e-17
"VE-822_1613",0.241329636544739,5.12255410724239e-11,726,1.5138294227373e-10
"WZ4003_1614",0.0843307306070498,0.0230887330011642,726,0.0289339818622185
"CZC24832_1615",0.212479287883426,8.06882222133165e-09,726,1.71787827938029e-08
"AZD5582_1617",0.192573287614951,2.27957841786151e-07,714,3.95926777839104e-07
"GSK2606414_1618",0.183668350631422,7.43269336932688e-07,719,1.23202860886596e-06
