source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Malignant_PHLDA3hi,Malignant_PHLDA3hi,TIMP1,CD63,2.9450498,0.0,8.606923,1.0524107214257579,1.012775824627848,0.04544329,0.9552474,0.11485622797741477,4.740280626940602e-06
Malignant_PHLDA3hi,Fibroblast,TIMP1,CD63,2.842632,0.0,8.056453,0.9712755750938161,0.8833692683461498,0.042536885,0.9538132,0.14312814042587368,7.834889677612148e-06
Malignant_PHLDA3hi,Malignant_PHLDA3lo,TIMP1,CD63,2.7452946,0.0,7.5332885,0.8941640292882478,0.875467100389776,0.039774653,0.9523115,0.18083584126904903,1.7623013286179473e-05
Malignant_PHLDA3hi,T cell,LGALS1,PTPRC,2.6321006,0.0,6.9107194,0.8531973198580594,1.3033257035177315,0.06042098,0.9503142,0.07801900743171876,3.675374137868709e-05
Malignant_PHLDA3hi,NK cell,B2M,KLRD1,2.6268773,0.0,6.8039026,0.49022204066928055,0.9831661904260616,0.07272606,0.94994515,0.07801900743171876,4.0617196739061167e-05
Malignant_PHLDA3hi,NK cell,LGALS1,PTPRC,2.4636102,0.0,5.9795156,0.7094280454002984,0.9034909497744599,0.05227939,0.9467837,0.07801900743171876,0.00011492626082230801
Malignant_PHLDA3hi,NK cell,LGALS1,CD69,2.4550996,0.0,5.932479,0.8221132243007443,1.2481274480497797,0.06501514,0.9465844,0.07801900743171876,0.00012167676990471513
Malignant_PHLDA3hi,Myeloid cell,TIMP1,CD63,2.4063601,0.0,5.7115984,0.6256607069461877,0.19229011231814996,0.0301564,0.945617,0.40529064821183913,0.00014681650293622646
Malignant_PHLDA3hi,Myeloid cell,APP,CD74,2.6867735,0.0,4.680557,1.0809578656770404,1.8700869854391589,0.06547443,0.9402651,0.07264369911922271,0.00015443134962449175
Malignant_PHLDA3hi,B cell,FN1,CD79A,2.3710036,0.0,5.296087,1.6454041572734615,2.421023994930747,0.25064954,0.9436419,0.00023315699150604826,0.00017842760768897351
Malignant_PHLDA3hi,Fibroblast,LGALS1,ITGB1,2.3365524,0.0,5.2772975,0.8157704516974988,1.0495636467575888,0.03831431,0.9435473,0.20542405187917645,0.00023159897999382135
