gene,pearson_r,pearson_p,spearman_r,spearman_p,partial_r_purityadj,partial_p_purityadj
CD70,0.44426093184623505,1.0722544022638893e-25,0.5213865370924075,2.44855946274499e-36,0.49632355387053223,1.6217889663844695e-32
VTCN1,0.42965143394256955,5.728093520399212e-24,0.5058240661243667,5.750609890799946e-34,0.4679028440103646,1.2740755114040246e-28
TNFRSF18,0.45150907666737605,1.3853391747554278e-26,0.505476955287622,6.474597752232074e-34,0.49545508861024545,2.1602681658916657e-32
CD276,0.5301241968486374,1.007199288241528e-37,0.48027700865446915,2.4925145810516096e-30,0.43852280477147143,5.830501308823893e-25
LGALS9,0.41450475534171727,2.9012122045823124e-22,0.44489135516362427,8.991699728540482e-26,0.4344730999032118,1.7494700690357335e-24
NT5E,0.3552245372909543,2.2432438841017323e-16,0.3397773532481661,4.959205947768028e-15,0.29212738954867795,2.5866540692051887e-11
CD40,0.39503171797914766,3.390145313892796e-20,0.3011112417510112,5.5699280872382175e-12,0.23315597932389306,1.3015752749606553e-07
CD86,0.28175432104359155,1.295114069897798e-10,0.29510476800906993,1.517017523149752e-11,0.20571303189530152,3.4384286649687895e-06
CTLA4,0.2012961753271575,5.481038872088544e-06,0.2873602012091674,5.336014678640986e-11,0.19194055333127835,1.5200363685443137e-05
HAVCR2,0.26973049939959165,8.120509223177501e-10,0.2743931951863028,4.027332070608504e-10,0.17163897644860948,0.00011297367401490314
TNFRSF9,0.1696975377537746,0.00013323594786639987,0.2617199444267667,2.6264334862257862e-09,0.15133083749079226,0.0006778791635536657
TIGIT,0.14694901157979506,0.0009593625105190735,0.2435423956962,3.267239688164262e-08,0.11950473061392308,0.007410772767952909
PDCD1LG2,0.18176485390776426,4.1939388685827596e-05,0.21879065089862573,7.422913807279728e-07,0.10097870472388677,0.023799922667364228
LAG3,0.08226466892898293,0.06551948245250815,0.21739207145655778,8.764033745415682e-07,0.09888929291226692,0.026874174900929776
TNFRSF4,0.1874266353685473,2.3745663224926845e-05,0.21652886792136936,9.704766312965078e-07,0.14096817571677384,0.0015603282558692005
CD274,0.20752385835327453,2.7427641427044383e-06,0.21055085143882987,1.9440060703082803e-06,0.13771515234933213,0.0020048326827189523
PDCD1,0.03775097268800899,0.3986602785659774,0.13345482369755512,0.002734915500779914,0.017826624769504792,0.6905942084781748
VSIR,0.1421380896132673,0.0014083158880325137,0.09132821459960803,0.04081382382508832,0.03469095506311984,0.43846830153737537
IDO1,-0.034859596493510045,0.4357844561811147,0.056017213985927225,0.21022724332818654,-0.08194692850853225,0.06684389087765791
CD200,0.10879676460294645,0.014736257473804868,0.0467806515868171,0.29551621973449343,-0.02123635336498786,0.6353572417193444
CD27,-0.08736864402725195,0.05041945412071022,-0.06732186028329867,0.1319852102449137,-0.1598968026417752,0.0003266677963298898
