cell_type,disease,assay,tissue,is_primary_data,PHLDA3
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
thyroid follicular cell,normal,microwell-seq,thyroid gland,True,0.0
