#please cite:
#Keren Zhou, Junhong Huang, Shurong Liu, Wujian Zheng, Shun Liu, Yinghao Xing, Yinan Cao, Yibo Chen, Xinping Hu, Li Cai, Jie Zhou, Penghui Lin, Jiajia Xuan, Fangzhou Xie, Lahong Xu, Junhao Li, Lingling Zheng, Lianghu Qu, Jianjun Chen, Bin Li, and Jianhua Yang, An Encyclopedic Regulatory and Functional Atlas of RNA Interactomes, Nature Methods (2026).
miRNAid	miRNAname	geneID	geneName	geneType	chromosome	narrowStart	narrowEnd	broadStart	broadEnd	strand	clipExpNum	degraExpNum	RBP	PITA	RNA22	miRmap	microT	miRanda	PicTar	TargetScan	TDMDScore	phyloP	pancancerNum	cellline/tissue
MIMAT0000068	hsa-miR-15a-5p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465677	201465683	201465676	201465704	-	14	0	AGO1,AGO2	1	0	0	1	1	1	1	0.6818	2.370	13	Akata-LCLd3,endothelial
MIMAT0000068	hsa-miR-15a-5p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465713	201465718	201465712	201465740	-	3	0	AGO1,AGO2	1	0	0	1	0	0	0	0.6896	1.182	13	HEK293T,endothelial
MIMAT0000069	hsa-miR-16-5p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465677	201465682	201465676	201465704	-	14	0	AGO1,AGO2	1	0	0	1	1	1	1	0.9424	2.305	13	Akata-LCLd3,endothelial
MIMAT0000069	hsa-miR-16-5p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465713	201465718	201465712	201465740	-	3	0	AGO1,AGO2	1	0	0	1	0	0	0	0.8182	1.182	13	HEK293T,endothelial
MIMAT0000072	hsa-miR-18a-5p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465730	201465735	201465730	201465735	-	1	0	AGO1	1	0	0	0	0	0	0	0.9098	-0.044	15	endothelial
MIMAT0000073	hsa-miR-19a-3p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465632	201465638	201465631	201465659	-	6	0	AGO1,AGO1-4,AGO2	1	0	0	1	1	0	1	-0.1872	2.404	17	22RV1,HEK293,MCF7
MIMAT0000074	hsa-miR-19b-3p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465632	201465638	201465631	201465659	-	6	0	AGO1,AGO1-4,AGO2	1	0	0	1	1	0	1	-0.1872	2.404	15	22RV1,HEK293,MCF7
MIMAT0000101	hsa-miR-103a-3p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465678	201465683	201465677	201465705	-	14	0	AGO1,AGO2	1	0	0	1	0	0	0	0.0227	2.448	13	Akata-LCLd3,endothelial
MIMAT0000101	hsa-miR-103a-3p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465905	201465928	201465905	201465928	-	0	0	NA	0	1	0	0	0	0	0	1.1138	0.005	13	
MIMAT0000104	hsa-miR-107	ENSG00000174307	PHLDA3	protein_coding	chr1	201465678	201465683	201465677	201465705	-	14	0	AGO1,AGO2	1	0	0	1	0	0	0	-0.2887	2.448	14	Akata-LCLd3,endothelial
MIMAT0000104	hsa-miR-107	ENSG00000174307	PHLDA3	protein_coding	chr1	201465905	201465928	201465905	201465928	-	0	0	NA	0	1	0	0	0	0	0	0.8666	0.005	14	
MIMAT0000252	hsa-miR-7-5p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465603	201465608	201465603	201465608	-	2	0	AGO1,AGO2	1	0	0	0	0	0	0	-2.6522	0.574	13	HEK293,WA-09
MIMAT0000252	hsa-miR-7-5p	ENSG00000174307	PHLDA3	protein_coding	chr1	201465623	201465628	201465623	201465628	-	3	0	AGO1,AGO1-4,AGO2	1	0	0	0	0	0	0	0.4129	0.366	13	HEK293,MCF7,WA-09
